Row ID,Id,Name,Phone Number,Email,Applied Job Position,Skills LIST,Date Joining,Cover Letter,Resume,Date Applied,Status
,,,,,,,,,,,
,,,,,,,,,,,
JZSH5YCF4YI67HUZYIOSDK,34e36d99-685d-4685-a47d-3c1e22f670d9,Name 3,555-555-2475,person_3@example.com,Applied Job Position 89,Skills LIST 99,7/7/2024,Cover Letter 83,Resume 29,7/7/2024,INTERVIEWING
JZSH542F4YI67HUZYIOSDK,cb9a0acb-0bc9-4825-94a4-26eb325eba53,Name 4,555-555-2476,person_4@example.com,Applied Job Position 90,Skills LIST 100,7/7/2024,Cover Letter 84,Resume 30,7/7/2024,PENDING
JZSH6BKF4YI67HUZYIOSDK,8f91da9c-1039-43ac-8423-1f6e2460868d,Name 5,555-555-2477,person_5@example.com,Applied Job Position 91,Skills LIST 101,7/7/2024,Cover Letter 85,Resume 31,7/7/2024,PENDING
JZSH6BKF4YI634HUZYIOSDK,8f91da9c-1039-43ac-8423-1f6e24608345d,Name 6,555-555-2478,person_6@example.com,Applied Job Position 92,Skills LIST 102,8/7/2024,Cover Letter 86,Resume 32,8/7/2024,PENDING
JZSH6BKF4YI69HUZYIOSDK,8f91da9c-1039-43ac-8423-1f6e2460568d,Name 7,555-555-2479,person_7@example.com,Applied Job Position 93,Skills LIST 103,9/7/2024,Cover Letter 87,Resume 33,9/7/2024,PENDING
JZSH6BKF4YI70HUZYIOSDK,8f91da9c-1039-43ac-8423-1f6e45660868d,Name 8,491-131-1988,person_8@example.com,Applied Job Position 94,Skills LIST 104,10/7/2024,Cover Letter 88,Resume 34,10/7/2024,INTERVIEWING
JZSH6BKF4YI71UZYIOSDK,8f91da9c-1039-43ac-8423-1f6e275468d,Name 9,101-965-8931,person_9@example.com,Applied Job Position 95,Skills LIST 105,11/7/2024,Cover Letter 89,Resume 35,11/7/2024,INTERVIEWING
JZSH6BKF4YI34HUZYIOSDK,8f91da9c-1039-43ac-842226e234460868d,Name 10,917-343-1597,person_10@example.com,Applied Job Position 96,Skills LIST 106,12/7/2024,Cover Letter 90,Resume 36,12/7/2024,INTERVIEWING
JZSH6BKF4YI546HUZYIOSDK,8f91da9c-1039-43ac-8423-15642460868d,Name 11,378-742-2077,person_11@example.com,Applied Job Position 97,Skills LIST 107,13/7/2024,Cover Letter 91,Resume 37,13/7/2024,ACCEPTED
JZSH6BKF4Y674HUZYIOSDK,8f91da9c-1039-43ac-8423-1f78yh2460868d,Name 12,111-529-2339,person_12@example.com,Applied Job Position 98,Skills LIST 108,14/7/2024,Cover Letter 92,Resume 38,14/7/2024,ACCEPTED
JZSH6BKF4YI65HUZYIOSDK,8f91da9c-1039-43ac-8423-1f23ed460868d,Name 13,466-320-3589,person_13@example.com,Applied Job Position 99,Skills LIST 109,15/7/2024,Cover Letter 93,Resume 39,15/7/2024,ACCEPTED
JZSH6BKF4YI876HUZYIOSDK,8f91da9c-1039-245dc-8423-1f6e2460868d,Name 14,636-702-0535,person_14@example.com,Applied Job Position 100,Skills LIST 110,16/7/2024,Cover Letter 94,Resume 40,16/7/2024,ACCEPTED
